Issuer Company,Symbol,Security Code,Dividened Record Date,Ex Date,Dividened Type,Dividened Per Share,CMP
HDFC Asset Management Company Ltd,HDFCAMC.NS,"5,41,729",06-Jun-25,06-Jun-25,Dividend,90,"5,228.90"
IFGL Refractories Ltd,IFGLEXPOR.NS,"5,40,774",06-Jun-25,06-Jun-25,Dividend,1,527.35
Maithan Alloys Ltd,MAITHANALL.NS,"5,90,078",06-Jun-25,06-Jun-25,Interim Dividend,7,"1,217.70"
TAAL Enterprises Ltd,TAALENT.NS,"5,39,956",06-Jun-25,06-Jun-25,Interim Dividend,30,"3,733.15"
Toss The Coin Ltd,TTC.NS,"5,44,303",06-Jun-25,06-Jun-25,Interim Dividend,0.5,412.55
ICICI Lombard General Insurance Company Ltd,ICICIGI.NS,"5,40,716",06-Jun-25,06-Jun-25,Dividend,7,"2,021.95"
Jindal Saw Ltd,JINDALSAW.NS,"5,00,378",05-Jun-25,05-Jun-25,Dividend,2,231.9
Rallis India Ltd,RALLIS.NS,"5,00,355",05-Jun-25,05-Jun-25,Dividend,2.5,322.25
Tata Consultancy Services Ltd,TCS.NS,"5,32,540",04-Jun-25,04-Jun-25,Dividend,30,"3,423.70"
Seshasayee Paper and Boards Ltd,SESHAPAPER.NS,"5,02,450",04-Jun-25,04-Jun-25,Dividend,2.5,287.5
INOX India Ltd,INOXINDIA.NS,"5,44,046",04-Jun-25,04-Jun-25,Dividend,2,"1,228.10"
Atishay Ltd,ATISHAY.NS,"5,38,713",03-Jun-25,03-Jun-25,Dividend,1,134.5
Larsen & Toubro Ltd,LT.NS,"5,00,510",03-Jun-25,03-Jun-25,Dividend,34,"3,679.65"
Sunshield Chemicals Ltd,SUNSHIEL.NS,"5,30,845",03-Jun-25,03-Jun-25,Dividend,2.5,770.9
Nuvama Wealth Management Ltd,NUVAMA.NS,"5,43,988",03-Jun-25,03-Jun-25,Interim Dividend,69,"7,601.35"
Infosys Ltd,INFY.NS,"5,00,209",30-May-25,30-May-25,Dividend,22,"1,572.55"
Bajaj Finance Ltd,BAJFINANCE.NS,"5,00,034",30-May-25,30-May-25,Dividend,44,"9,608.30"
Ponni Sugars (Erode) Ltd,PONNIERODE.NS,"5,32,460",30-May-25,30-May-25,Dividend,3,346.5
GlaxoSmithKline Pharmaceuticals Ltd,GLAXO.NS,"5,00,660",30-May-25,30-May-25,Dividend,42,"3,396.15"
Caplin Point Laboratories Ltd,CAPLIPOINT.NS,"5,24,742",30-May-25,30-May-25,Interim Dividend,3,"2,050.40"
Vimta Labs Ltd-$,VIMTALABS.NS,"5,24,394",30-May-25,30-May-25,Dividend,2,946.7
UNO Minda Ltd-$,UNOMINDA.NS,"5,32,539",30-May-25,30-May-25,Dividend,1.5,"1,092.15"
Meghna Infracon Infrastructure Ltd,MIIL.NS,"5,38,668",30-May-25,30-May-25,Interim Dividend,0.1,"1,093.85"
Advani Hotels & Resorts (India) Ltd,ADVANIHOTR.NS,"5,23,269",30-May-25,30-May-25,Interim Dividend,0.9,62.46
Jagran Prakashan Ltd,JAGRAN.NS,"5,32,705",30-May-25,30-May-25,Interim Dividend,6,73.01
Jupiter Wagons Ltd,JWL.NS,"5,33,272",30-May-25,30-May-25,Interim Dividend,1,407.6
Angel One Ltd,ANGELONE.NS,"5,43,235",30-May-25,30-May-25,Dividend,26,"3,201.50"
S Chand and Company Ltd,SCHAND.NS,"5,40,497",30-May-25,30-May-25,Interim Dividend,4,213.75
Home First Finance Company India Ltd,HOMEFIRST.NS,"5,43,259",30-May-25,30-May-25,Dividend,3.7,"1,278.60"
Tata Consumer Products Ltd,TATACONSUM.NS,"5,00,800",29-May-25,29-May-25,Dividend,8.25,"1,120.85"
Kennametal India Ltd-$,KENNAMET.NS,"5,05,890",28-May-25,28-May-25,Interim Dividend,40,"2,382.15"
Colgate Palmolive (India) Ltd,COLPAL.NS,"5,00,830",28-May-25,28-May-25,Interim Dividend,27,"2,451.85"
ITC Ltd,ITC.NS,"5,00,875",28-May-25,28-May-25,Dividend,7.85,423.05
L&T Finance Ltd,LTF.NS,"5,33,519",27-May-25,27-May-25,Dividend,2.75,192.9
Man Infraconstruction Ltd,MANINFRA.NS,"5,33,169",27-May-25,27-May-25,Interim Dividend,0.45,168.75
Trident Ltd,TRIDENT.NS,"5,21,064",27-May-25,27-May-25,Interim Dividend,0.5,30.9
Lloyds Metals and Energy Ltd,LLOYDSME.NS,"5,12,455",26-May-25,26-May-25,Dividend,1,"1,492.30"
Black Rose Industries Ltd,BLACKROSE.NS,"5,14,183",26-May-25,26-May-25,Dividend,0.5,104.55
Pearl Global Industries Ltd,PGIL.NS,"5,32,808",26-May-25,26-May-25,Interim Dividend,6.5,"1,336.10"
Archean Chemical Industries Ltd,ACI.NS,"5,43,657",26-May-25,26-May-25,Dividend,3,649.1
Havells India Ltd,HAVELLS.NS,"5,17,354",25-May-25,25-May-25,Dividend,6,"1,541.80"
Himadri Speciality Chemical Ltd,HSCL.NS,"5,00,184",23-May-25,23-May-25,Dividend,0.6,497.2
LTIMindtree Ltd,LTIM.NS,"5,40,005",23-May-25,23-May-25,Dividend,45,"5,257.30"
